category,table,rowKey,column,value,reason
"missing-user","AbpRoleClaims","4184526e-76a2-4160-bda3-b823b0434c6e","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","43d8b27f-c200-4316-8256-16fc0e7d9cb8","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","4449e1cd-b4e0-4ca7-a520-a116406af91f","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","45744ea1-96d3-409f-aa5d-bfe4f4d5b908","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","4682ac54-c4d6-46f6-85f5-c662f5d4919c","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","4851b39b-2903-4131-8de0-bec735a79f72","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","48df5a0e-5807-4352-85ad-6bb4aa5a08b1","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","4ac5ebfc-eea9-4b85-8a98-56d90991b9b4","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","4b68823f-8ad6-4260-9f88-b323651be9ad","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","4d17093c-1a08-48a5-b7ae-4ba7109c8375","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","4ed33b36-beef-4d34-971c-3e333eb72f54","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","4f83a5f3-4e75-4f24-8870-32e7092da5bf","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","54bc9968-63fa-4d37-a437-6c782804cf87","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","55458be1-306e-4fd5-9e4e-cb66d7f4b458","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","576a9637-c05b-4bcb-a227-61816752189c","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","57cc1a7d-ece7-4944-b471-13a83585eab6","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","57d6ffb3-017c-486f-8796-c4e2a5239699","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","5a54ec12-ff18-489f-8769-aa24019d2eb3","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","5a8def73-6ede-471f-aa2a-20f3c9c6a0d6","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","5c5f60f0-1ced-4a66-be40-4bd50ea99748","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","5cce7380-3903-4539-93ea-810d0bb3a5b3","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
